X   Y   Z   quatX   quatY   quatZ   W
0.4         0.2         0.7        1000        1000        1000        1000
0.4     0.19999       0.702        1000        1000        1000        1000
0.4     0.19996       0.704        1000        1000        1000        1000
0.4     0.19991       0.706        1000        1000        1000        1000
0.4     0.19984       0.708        1000        1000        1000        1000
0.4     0.19975        0.71        1000        1000        1000        1000
0.4     0.19964     0.71199        1000        1000        1000        1000
0.4     0.19951     0.71399        1000        1000        1000        1000
0.4     0.19936     0.71598        1000        1000        1000        1000
0.4     0.19919     0.71798        1000        1000        1000        1000
0.4       0.199     0.71997        1000        1000        1000        1000
0.4     0.19879     0.72196        1000        1000        1000        1000
0.4     0.19856     0.72394        1000        1000        1000        1000
0.4     0.19831     0.72593        1000        1000        1000        1000
0.4     0.19804     0.72791        1000        1000        1000        1000
0.4     0.19775     0.72989        1000        1000        1000        1000
0.4     0.19745     0.73186        1000        1000        1000        1000
0.4     0.19712     0.73384        1000        1000        1000        1000
0.4     0.19677     0.73581        1000        1000        1000        1000
0.4      0.1964     0.73777        1000        1000        1000        1000
0.4     0.19601     0.73973        1000        1000        1000        1000
0.4     0.19561     0.74169        1000        1000        1000        1000
0.4     0.19518     0.74365        1000        1000        1000        1000
0.4     0.19473      0.7456        1000        1000        1000        1000
0.4     0.19427     0.74754        1000        1000        1000        1000
0.4     0.19378     0.74948        1000        1000        1000        1000
0.4     0.19328     0.75142        1000        1000        1000        1000
0.4     0.19275     0.75335        1000        1000        1000        1000
0.4     0.19221     0.75527        1000        1000        1000        1000
0.4     0.19165     0.75719        1000        1000        1000        1000
0.4     0.19107      0.7591        1000        1000        1000        1000
0.4     0.19047     0.76101        1000        1000        1000        1000
0.4     0.18985     0.76291        1000        1000        1000        1000
0.4     0.18921     0.76481        1000        1000        1000        1000
0.4     0.18855      0.7667        1000        1000        1000        1000
0.4     0.18787     0.76858        1000        1000        1000        1000
0.4     0.18718     0.77045        1000        1000        1000        1000
0.4     0.18647     0.77232        1000        1000        1000        1000
0.4     0.18573     0.77418        1000        1000        1000        1000
0.4     0.18498     0.77604        1000        1000        1000        1000
0.4     0.18421     0.77788        1000        1000        1000        1000
0.4     0.18342     0.77972        1000        1000        1000        1000
0.4     0.18262     0.78155        1000        1000        1000        1000
0.4     0.18179     0.78337        1000        1000        1000        1000
0.4     0.18095     0.78519        1000        1000        1000        1000
0.4     0.18009     0.78699        1000        1000        1000        1000
0.4     0.17921     0.78879        1000        1000        1000        1000
0.4     0.17831     0.79058        1000        1000        1000        1000
0.4      0.1774     0.79236        1000        1000        1000        1000
0.4     0.17647     0.79413        1000        1000        1000        1000
0.4     0.17552     0.79589        1000        1000        1000        1000
0.4     0.17455     0.79764        1000        1000        1000        1000
0.4     0.17356     0.79938        1000        1000        1000        1000
0.4     0.17256     0.80111        1000        1000        1000        1000
0.4     0.17154     0.80283        1000        1000        1000        1000
0.4      0.1705     0.80454        1000        1000        1000        1000
0.4     0.16945     0.80624        1000        1000        1000        1000
0.4     0.16838     0.80793        1000        1000        1000        1000
0.4     0.16729      0.8096        1000        1000        1000        1000
0.4     0.16619     0.81127        1000        1000        1000        1000
0.4     0.16507     0.81293        1000        1000        1000        1000
0.4     0.16393     0.81457        1000        1000        1000        1000
0.4     0.16278     0.81621        1000        1000        1000        1000
0.4     0.16161     0.81783        1000        1000        1000        1000
0.4     0.16042     0.81944        1000        1000        1000        1000
0.4     0.15922     0.82104        1000        1000        1000        1000
0.4       0.158     0.82262        1000        1000        1000        1000
0.4     0.15676      0.8242        1000        1000        1000        1000
0.4     0.15551     0.82576        1000        1000        1000        1000
0.4     0.15425     0.82731        1000        1000        1000        1000
0.4     0.15297     0.82884        1000        1000        1000        1000
0.4     0.15167     0.83037        1000        1000        1000        1000
0.4     0.15036     0.83188        1000        1000        1000        1000
0.4     0.14903     0.83337        1000        1000        1000        1000
0.4     0.14769     0.83486        1000        1000        1000        1000
0.4     0.14634     0.83633        1000        1000        1000        1000
0.4     0.14497     0.83778        1000        1000        1000        1000
0.4     0.14358     0.83923        1000        1000        1000        1000
0.4     0.14218     0.84066        1000        1000        1000        1000
0.4     0.14077     0.84207        1000        1000        1000        1000
0.4     0.13934     0.84347        1000        1000        1000        1000
0.4      0.1379     0.84486        1000        1000        1000        1000
0.4     0.13644     0.84623        1000        1000        1000        1000
