X   Y   Z   quatX   quatY   quatZ   W
0.4 -0.2 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.19 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.18 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.17 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.16 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.15 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.14 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.13 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.12 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.11 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.10 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.09 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.08 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.07 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.06 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.05 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.04 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.03 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.02 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.01 0.5 1000.0 1000.0 1000.0 1000.0
0.4 -0.0 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.01 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.02 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.03 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.04 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.05 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.06 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.07 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.08 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.09 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.1 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.11 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.12 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.13 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.14 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.15 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.16 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.17 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.18 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.19 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.5 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.51 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.52 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.53 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.54 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.55 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.56 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.57 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.58 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.59 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.6 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.61 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.62 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.63 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.64 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.65 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.66 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.67 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.68 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.69 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.7 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.71 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.72 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.73 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.74 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.75 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.76 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.77 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.78 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.79 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.8 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.81 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.81 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.82 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.83 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.84 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.85 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.86 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.87 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.88 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.89 1000.0 1000.0 1000.0 1000.0
0.4 0.2 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.19 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.18 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.17 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.16 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.15 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.14 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.13 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.12 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.11 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.10 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.09 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.08 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.07 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.06 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.05 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.04 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.03 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.02 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.01 0.9 1000.0 1000.0 1000.0 1000.0
0.4 0.0 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.01 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.02 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.03 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.04 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.05 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.06 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.07 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.08 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.09 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.1 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.11 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.12 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.13 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.14 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.15 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.16 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.17 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.18 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.19 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.2 0.9 1000.0 1000.0 1000.0 1000.0
0.4 -0.2 0.89 1000.0 1000.0 1000.0 1000.0
