X   Y   Z   quatX   quatY   quatZ   W
0.029098 0.361809 0.999047 0.0731016 0.535009 -0.50634 0.67234 
0.0281746 0.363626 0.992292 0.0728809 0.53453 -0.506445 0.672665 
0.02798 0.363967 0.991136 0.0728785 0.534523 -0.506448 0.672669 
0.0277849 0.364309 0.989981 0.0728764 0.534517 -0.506451 0.672672 
0.0275892 0.36465 0.988827 0.0728745 0.534511 -0.506453 0.672676 
0.0273931 0.364992 0.987673 0.0728728 0.534505 -0.506456 0.672679 
0.0271966 0.365334 0.98652 0.0728713 0.534499 -0.506458 0.672682 
0.0269997 0.365676 0.985367 0.0728699 0.534493 -0.50646 0.672685 
0.0268024 0.366019 0.984214 0.0728687 0.534488 -0.506463 0.672688 
0.0266049 0.366361 0.983062 0.0728677 0.534482 -0.506465 0.672691 
0.0264071 0.366704 0.98191 0.0728667 0.534477 -0.506467 0.672693 
0.0262091 0.367046 0.980758 0.0728659 0.534472 -0.506469 0.672696 
0.0260108 0.367389 0.979607 0.0728652 0.534467 -0.506471 0.672698 
0.0258123 0.367732 0.978456 0.0728645 0.534462 -0.506472 0.672701 
0.0256136 0.368075 0.977305 0.072864 0.534458 -0.506474 0.672703 
0.0254147 0.368418 0.976154 0.0728635 0.534453 -0.506476 0.672706 
0.0252157 0.368761 0.975003 0.0728632 0.534449 -0.506478 0.672708 
0.0250165 0.369104 0.973853 0.0728629 0.534444 -0.506479 0.67271 
0.0248172 0.369447 0.972703 0.0728626 0.53444 -0.506481 0.672713 
0.0246177 0.369791 0.971553 0.0728625 0.534436 -0.506482 0.672715 
0.0244181 0.370134 0.970403 0.0728623 0.534432 -0.506484 0.672717 
0.0242184 0.370477 0.969253 0.0728623 0.534428 -0.506485 0.672719 
0.0240186 0.370821 0.968104 0.0728623 0.534424 -0.506487 0.672721 
0.0238187 0.371164 0.966954 0.0728623 0.53442 -0.506488 0.672723 
0.0236187 0.371508 0.965805 0.0728624 0.534416 -0.50649 0.672725 
0.0234186 0.371851 0.964656 0.0728626 0.534413 -0.506491 0.672727 
0.0232184 0.372195 0.963507 0.0728628 0.534409 -0.506492 0.672728 
0.0230181 0.372538 0.962358 0.072863 0.534405 -0.506494 0.67273 
0.0228178 0.372882 0.961209 0.0728632 0.534402 -0.506495 0.672732 
0.0226174 0.373226 0.96006 0.0728635 0.534399 -0.506496 0.672734 
0.0224169 0.373569 0.958911 0.0728639 0.534395 -0.506498 0.672735 
0.0222164 0.373913 0.957763 0.0728643 0.534392 -0.506499 0.672737 
0.0220158 0.374257 0.956614 0.0728647 0.534389 -0.5065 0.672739 
0.0218152 0.3746 0.955466 0.0728651 0.534385 -0.506501 0.67274 
0.0216145 0.374944 0.954317 0.0728656 0.534382 -0.506503 0.672742 
0.0214138 0.375288 0.953169 0.0728661 0.534379 -0.506504 0.672743 
0.021213 0.375632 0.952021 0.0728666 0.534376 -0.506505 0.672745 
0.0210122 0.375975 0.950873 0.0728672 0.534373 -0.506506 0.672746 
0.0208113 0.376319 0.949725 0.0728678 0.53437 -0.506507 0.672747 
0.0206104 0.376663 0.948577 0.0728684 0.534367 -0.506509 0.672749 
0.0204095 0.377007 0.947429 0.072869 0.534365 -0.50651 0.67275 
0.0202085 0.377351 0.946281 0.0728697 0.534362 -0.506511 0.672751 
0.0200075 0.377695 0.945133 0.0728703 0.534359 -0.506512 0.672753 
0.0198065 0.378038 0.943985 0.072871 0.534356 -0.506513 0.672754 
0.0196054 0.378382 0.942838 0.0728718 0.534354 -0.506514 0.672755 
0.0194043 0.378726 0.94169 0.0728725 0.534351 -0.506515 0.672756 
0.0192032 0.37907 0.940543 0.0728733 0.534348 -0.506516 0.672757 
0.0190021 0.379414 0.939395 0.0728741 0.534346 -0.506518 0.672758 
0.0188009 0.379758 0.938248 0.0728749 0.534343 -0.506519 0.67276 
0.0185997 0.380102 0.9371 0.0728757 0.534341 -0.50652 0.672761 
0.0183985 0.380446 0.935953 0.0728766 0.534338 -0.506521 0.672762 
0.0181973 0.380789 0.934806 0.0728775 0.534336 -0.506522 0.672763 
0.0179961 0.381133 0.933658 0.0728783 0.534334 -0.506523 0.672764 
0.0177949 0.381477 0.932511 0.0728792 0.534331 -0.506524 0.672765 
0.0175936 0.381821 0.931364 0.0728802 0.534329 -0.506525 0.672765 
0.0173923 0.382165 0.930217 0.0728811 0.534327 -0.506526 0.672766 
0.017191 0.382509 0.92907 0.0728821 0.534325 -0.506527 0.672767 
0.0169897 0.382853 0.927923 0.072883 0.534322 -0.506528 0.672768 
0.0167884 0.383197 0.926776 0.072884 0.53432 -0.506529 0.672769 
0.0165871 0.383541 0.925629 0.072885 0.534318 -0.50653 0.67277 
0.0163858 0.383885 0.924482 0.0728861 0.534316 -0.506531 0.67277 
0.0161845 0.384229 0.923335 0.0728871 0.534314 -0.506532 0.672771 
0.0159831 0.384573 0.922188 0.0728881 0.534312 -0.506534 0.672772 
0.0157818 0.384917 0.921041 0.0728892 0.53431 -0.506535 0.672773 
0.0155804 0.385261 0.919894 0.0728903 0.534308 -0.506536 0.672773 
0.0153791 0.385605 0.918748 0.0728914 0.534306 -0.506537 0.672774 
0.0151777 0.385949 0.917601 0.0728925 0.534304 -0.506538 0.672775 
0.0149763 0.386293 0.916454 0.0728936 0.534302 -0.506539 0.672775 
0.014775 0.386636 0.915308 0.0728947 0.5343 -0.50654 0.672776 
