lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 

1 1 1 1 1 1 1 
1.81839 -0.450382 2.30734 -0.284219 1.32226 -1.60482 -0.00764187 
1.87609 -0.428202 2.28724 -0.360657 1.29314 -1.62445 0.0316896 
1.88486 -0.425326 2.283 -0.371686 1.29004 -1.62767 0.0374295 
1.8934 -0.422576 2.27886 -0.382377 1.28705 -1.63086 0.0430001 
1.90171 -0.419941 2.27482 -0.392756 1.28416 -1.63403 0.048416 
1.90983 -0.417412 2.27087 -0.402851 1.28138 -1.63716 0.0536898 
1.91776 -0.414982 2.26701 -0.412681 1.27869 -1.64028 0.0588324 
1.92551 -0.412643 2.26322 -0.422267 1.27609 -1.64337 0.0638534 
1.93309 -0.410389 2.25952 -0.431624 1.27358 -1.64644 0.0687614 
1.94053 -0.408215 2.25588 -0.440768 1.27114 -1.6495 0.0735641 
1.94781 -0.406115 2.25231 -0.449712 1.26878 -1.65253 0.0782681 
1.95496 -0.404087 2.2488 -0.458468 1.26649 -1.65555 0.0828798 
1.96197 -0.402125 2.24536 -0.467047 1.26427 -1.65855 0.0874045 
1.96886 -0.400226 2.24197 -0.475459 1.26211 -1.66153 0.0918474 
1.97564 -0.398386 2.23863 -0.483712 1.26002 -1.6645 0.096213 
1.98229 -0.396604 2.23535 -0.491815 1.25799 -1.66745 0.100506 
1.98884 -0.394877 2.23212 -0.499775 1.25602 -1.67039 0.104729 
1.99528 -0.393201 2.22893 -0.507598 1.2541 -1.67331 0.108887 
2.00162 -0.391574 2.22579 -0.515292 1.25224 -1.67622 0.112982 
2.00787 -0.389995 2.22269 -0.522862 1.25044 -1.67911 0.117018 
2.01402 -0.388462 2.21964 -0.530313 1.24868 -1.68199 0.120997 
2.02008 -0.386973 2.21663 -0.537651 1.24698 -1.68486 0.124922 
2.02605 -0.385526 2.21366 -0.544879 1.24533 -1.68772 0.128796 
2.03194 -0.384119 2.21072 -0.552003 1.24372 -1.69056 0.132621 
