lbr_1_joint=0.6057956275313819 lbr_2_joint=1.691485166970412 lbr_3_joint=-0.7448370019572123 lbr_4_joint=-0.0366928419510128 lbr_5_joint=0.623660782696387 lbr_6_joint=-1.5098528024227962 lbr_7_joint=-1.0594148469573152e-05
lbr_1_joint=0.9154385017535323 lbr_2_joint=1.641014800740997 lbr_3_joint=-0.9557924510321703 lbr_4_joint=-0.010822280454162593 lbr_5_joint=0.9595410517144544 lbr_6_joint=-1.0511790920727495 lbr_7_joint=0.10875057464965134
lbr_1_joint=1.501084198522125 lbr_2_joint=1.661975349667986 lbr_3_joint=-1.0135098780398835 lbr_4_joint=-1.0970170927073513 lbr_5_joint=1.4817754815450632 lbr_6_joint=-1.6176198665940145 lbr_7_joint=0.10873329589020343
lbr_1_joint=-0.3087723738118235 lbr_2_joint=1.6354693137958851 lbr_3_joint=-1.8919424955904256 lbr_4_joint=1.0900642420785616 lbr_5_joint=1.2886473139906638 lbr_6_joint=-1.2879779278683352 lbr_7_joint=0.10873329589020343
lbr_1_joint=0.12501042834219203 lbr_2_joint=1.6195671653305008 lbr_3_joint=-1.8136723332852787 lbr_4_joint=1.0228745467816303 lbr_5_joint=1.2063729475364504 lbr_6_joint=-0.9130066996208098 lbr_7_joint=0.10873162037413575
lbr_1_joint=-0.8379533710859682 lbr_2_joint=1.6120033971088272 lbr_3_joint=-1.811522366917773 lbr_4_joint=1.4757821780242804 lbr_5_joint=1.0052761826438177 lbr_6_joint=-0.8952652533921346 lbr_7_joint=0.10873329589020343
lbr_1_joint=-0.23300780615954614 lbr_2_joint=1.1958421370648937 lbr_3_joint=-1.3671345254397445 lbr_4_joint=1.6240234446585768 lbr_5_joint=1.0609066147629023 lbr_6_joint=0.663621718737401 lbr_7_joint=0.10872493576315742
lbr_1_joint=-0.07469590256036308 lbr_2_joint=1.6217071484147698 lbr_3_joint=-1.2242852265908588 lbr_4_joint=1.5750461726849692 lbr_5_joint=1.3833595598140038 lbr_6_joint=0.6456827186923714 lbr_7_joint=0.1087282693420004
lbr_1_joint=-0.5711021649412924 lbr_2_joint=1.618567562916501 lbr_3_joint=-1.8520731195211935 lbr_4_joint=1.6190036508796983 lbr_5_joint=0.8431079217352482 lbr_6_joint=-0.027531853131242824 lbr_7_joint=0.1087266112792251
lbr_1_joint=0.03484562039298531 lbr_2_joint=0.8095130740867826 lbr_3_joint=-1.9309298520763658 lbr_4_joint=1.4395980646393154 lbr_5_joint=1.8389290799427114 lbr_6_joint=0.023338420386283247 lbr_7_joint=0.1087282693420004
lbr_1_joint=-0.0015148061515176162 lbr_2_joint=1.169605876732981 lbr_3_joint=-1.9250176365519416 lbr_4_joint=1.165312192276639 lbr_5_joint=1.2467288864904187 lbr_6_joint=-0.37310184100818594 lbr_7_joint=0.1087282693420004
lbr_1_joint=-0.5738621413304784 lbr_2_joint=1.0624089069037894 lbr_3_joint=-1.8300462442434677 lbr_4_joint=1.6189614313654515 lbr_5_joint=1.5223788383716916 lbr_6_joint=-0.3090614352400822 lbr_7_joint=0.1087282693420004
lbr_1_joint=-0.8951248416550049 lbr_2_joint=0.9345912212033766 lbr_3_joint=-1.6134713237170346 lbr_4_joint=1.6233141079500095 lbr_5_joint=1.3226402886914184 lbr_6_joint=-0.3091348263345049 lbr_7_joint=0.10872994485806808
lbr_1_joint=0.0820001752310554 lbr_2_joint=1.389871522824194 lbr_3_joint=-1.9880896812993907 lbr_4_joint=1.1577075309909386 lbr_5_joint=1.386188249815257 lbr_6_joint=-0.6012508076511045 lbr_7_joint=0.1087266112792251
lbr_1_joint=0.05777479597973882 lbr_2_joint=1.0445060177206769 lbr_3_joint=-2.134910948066332 lbr_4_joint=0.8277970035489525 lbr_5_joint=1.4123862874368758 lbr_6_joint=-0.6047294408069844 lbr_7_joint=0.1087282693420004
lbr_1_joint=-0.2370114692565491 lbr_2_joint=0.9883713076250991 lbr_3_joint=-2.226044710448134 lbr_4_joint=1.2281697186075484 lbr_5_joint=1.4485146026461286 lbr_6_joint=-0.7899711287637589 lbr_7_joint=0.10871636619660296
lbr_1_joint=-0.08329641380220323 lbr_2_joint=1.4408340369919042 lbr_3_joint=-2.3268285901684207 lbr_4_joint=1.259216176130249 lbr_5_joint=1.478546133764127 lbr_6_joint=-0.790818206855723 lbr_7_joint=0.10871802425937827
lbr_1_joint=-0.5277851178568475 lbr_2_joint=1.1040807891959932 lbr_3_joint=-2.333806870244196 lbr_4_joint=1.6196095244710866 lbr_5_joint=1.615953792757512 lbr_6_joint=-0.8364132576605118 lbr_7_joint=0.10871802425937827
lbr_1_joint=0.07621323943927459 lbr_2_joint=1.278542747825407 lbr_3_joint=-2.3604315535978393 lbr_4_joint=1.2609508239524796 lbr_5_joint=1.5973536096375685 lbr_6_joint=-0.8201276254551383 lbr_7_joint=0.10871636619660296
lbr_1_joint=-0.18607181890184582 lbr_2_joint=1.3734655152613333 lbr_3_joint=-2.3599204862906134 lbr_4_joint=1.5865202812493346 lbr_5_joint=1.52556743271494 lbr_6_joint=-0.8231102360418167 lbr_7_joint=0.10871982194849254
lbr_1_joint=0.022351349436206296 lbr_2_joint=0.656861604816271 lbr_3_joint=-2.3597452552352025 lbr_4_joint=1.3156321809389802 lbr_5_joint=1.6287636017870775 lbr_6_joint=-0.8245319637851165 lbr_7_joint=0.10871802425937827
